program-name,current-version,experimental-version,status
coreutils,9.8,9.8,SAME
kmod,31,31,SAME
perl-5.40.0,man,env,DIFFERENT (current:man,exp:env)
switch-to-configuration,0.1.0,0.1.0,SAME
mounts.sh,unknown,unknown,SAME
bash-interactive,5.2p37,5.3p3,DIFFERENT (current:5.2p37,exp:5.3p3)
update-users,groups.pl,groups.pl,SAME
gnugrep,3.11,3.12,DIFFERENT (current:3.11,exp:3.12)
bash,5.3p3,5.3p3,SAME
pre-switch,checks,checks,SAME
local,cmds,cmds,SAME
shadow,4.18.0,4.18.0,SAME
findutils,4.10.0,4.10.0,SAME
system,path,path,SAME
firmware,unknown,unknown,SAME
lib.sh,unknown,unknown,SAME
manifest.json,unknown,unknown,SAME
etc,hostname,unknown,DIFFERENT (current:hostname,exp:unknown)
linux,6.19.5,6.12.74,DIFFERENT (current:6.19.5,exp:6.12.74)
setup,etc.pl,etc.pl,SAME
users,groups.json,groups.json,SAME
gnupg,2.4.8,2.4.8,SAME
sops-install-secrets,0.0.1,0.0.1,SAME
nixos-system-esnixi,25.11.20260304.fabb8c9,25.11.20260302.c581273,DIFFERENT (current:25.11.20260304.fabb8c9,exp:25.11.20260302.c581273)
